year,date,transect,grd,wetype,basin_no,species,pairs,lonedrake,flockdrake,groups,region,p_species,ind_birds_R
1973,14,2,1,3,12,32,0,1,0,0,1,1,2
1973,14,2,1,9,13,32,0,1,0,0,1,1,2
1973,15,2,2,1,16,32,0,2,0,0,1,1,4
1973,15,2,2,1,17,40,1,0,0,0,1,2,2
1973,15,2,2,4,18,32,0,1,0,0,1,1,2
1973,4,6,1,0,11,32,0,1,0,0,1,1,2
1973,4,6,1,0,12,40,0,1,0,0,1,2,2
1973,4,6,1,1,14,40,1,0,0,0,1,2,2
1973,4,6,1,1,15,42,0,1,0,0,1,5,2
1973,4,6,1,2,16,43,0,1,0,0,1,5,2
1973,14,7,1,1,8,40,1,1,0,0,1,2,4
1973,14,7,1,3,9,32,0,1,0,0,1,1,2
1973,14,7,1,3,10,32,0,1,0,0,1,1,2
1973,14,7,1,10,12,32,0,1,0,0,1,1,2
1973,14,7,1,1,13,42,1,0,0,0,1,5,2
1973,16,7,2,3,20,40,0,1,0,0,1,2,2
1973,9,9,1,0,5,32,0,2,0,0,1,1,4
1973,9,9,1,1,6,32,0,1,0,0,1,1,2
1973,9,9,1,2,8,40,0,1,0,0,1,2,2
1973,10,9,2,1,24,40,0,1,0,0,1,2,2
1973,10,9,2,2,27,32,0,1,0,0,1,1,2
1973,10,9,2,2,28,40,1,2,0,0,1,2,6
1973,10,9,2,2,28,50,0,1,0,0,1,5,1
1973,10,9,2,2,28,46,1,0,0,0,1,5,2
1973,3,12,1,1,4,43,1,0,0,0,1,5,2
1973,3,12,1,2,5,40,1,0,0,0,1,2,2
1973,3,12,1,2,6,44,1,0,0,0,1,3,2
1973,3,12,1,7,8,40,1,0,0,0,1,2,2
1973,3,12,1,1,9,37,0,1,0,0,1,5,2
1973,3,12,1,5,10,51,0,1,0,0,1,5,2
1973,4,12,2,1,45,43,1,0,0,0,1,5,2
1973,4,12,2,1,46,32,0,1,0,0,1,1,2
1973,4,12,2,1,46,40,1,1,0,0,1,2,4
1973,4,12,2,1,47,40,0,4,0,0,1,2,8
1973,4,12,2,1,48,40,1,0,0,0,1,2,2
1973,4,12,2,1,49,40,1,0,0,0,1,2,2
1973,4,12,2,1,49,44,0,1,0,0,1,3,2
1973,4,12,2,1,50,40,5,3,0,0,1,2,16
1973,4,12,2,1,50,42,1,1,0,0,1,5,4
1973,4,12,2,1,50,43,0,1,0,0,1,5,2
1973,4,12,2,1,50,32,1,0,0,0,1,1,2
1973,4,12,2,2,52,32,0,4,0,0,1,1,8
1973,4,12,2,2,52,42,0,1,0,0,1,5,2
1973,4,12,2,5,55,32,0,0,0,0,1,1,0
1973,9,16,1,2,14,40,0,1,0,0,1,2,2
1973,11,16,2,1,22,40,0,1,0,0,1,2,2
1973,15,17,1,5,1,32,0,2,0,0,1,1,4
1973,16,17,2,3,10,40,1,1,0,0,1,2,4
1973,16,17,2,3,11,44,0,2,0,0,1,3,4
1973,16,17,2,4,13,40,1,0,0,0,1,2,2
1973,16,17,2,4,14,40,1,0,0,0,1,2,2
1973,16,17,2,5,23,32,0,1,0,0,1,1,2
1973,16,17,2,5,23,40,1,0,0,0,1,2,2
1973,17,23,2,3,7,40,0,1,0,0,1,2,2
1973,17,23,2,3,8,40,0,1,0,0,1,2,2
1973,17,23,2,3,9,40,0,2,0,0,1,2,4
1973,17,23,2,9,13,40,1,0,0,0,1,2,2
1973,17,23,2,9,14,44,0,1,0,0,1,3,2
1973,3,24,1,0,11,40,1,0,0,0,1,2,2
1973,3,24,1,1,12,40,1,0,0,0,1,2,2
1973,3,24,1,1,13,40,2,0,0,0,1,2,4
1973,4,24,2,0,15,40,0,1,0,0,1,2,2
1973,4,24,2,1,16,32,0,1,0,0,1,1,2
1973,14,25,1,0,5,40,1,0,0,0,1,2,2
1973,14,25,1,5,6,32,0,2,0,0,1,1,4
1973,14,25,1,5,6,42,0,1,0,0,1,5,2
1973,17,25,2,3,11,32,0,2,0,0,1,1,4
1973,17,25,2,3,11,44,0,3,0,0,1,3,6
1973,17,25,2,3,12,40,1,0,0,0,1,2,2
1973,17,25,2,3,13,40,1,0,0,0,1,2,2
1973,17,25,2,4,16,40,1,0,0,0,1,2,2
1973,14,29,1,1,5,32,1,0,0,0,1,1,2
1973,16,29,2,1,26,40,0,1,0,0,1,2,2
1973,16,29,2,2,41,40,1,0,0,0,1,2,2
1973,16,29,2,4,45,40,1,0,0,0,1,2,2
1973,17,32,1,5,1,32,1,0,0,0,2,1,2
1973,17,32,1,5,2,32,1,0,0,0,2,1,2
1973,17,35,1,5,5,32,0,1,0,0,2,1,2
1973,17,35,1,5,6,49,1,3,0,0,2,9,8
1973,17,35,1,2,7,32,0,2,0,0,2,1,4
1973,17,35,1,3,8,32,1,0,0,0,2,1,2
1973,17,35,1,3,9,40,0,1,0,0,2,2,2
1973,21,35,2,0,11,32,0,0,0,0,2,1,0
1973,16,40,1,5,4,32,0,2,0,0,2,1,4
1973,16,40,1,3,5,32,1,0,0,0,2,1,2
1973,29,40,2,4,23,40,0,3,0,0,2,2,6
1973,29,40,2,5,26,32,0,1,0,0,2,1,2
1973,29,40,2,5,26,40,2,0,0,0,2,2,4
1973,29,40,2,5,27,40,0,3,0,0,2,2,6
1973,29,40,2,5,28,40,1,2,0,0,2,2,6
1973,29,40,2,9,31,32,0,3,0,0,2,1,6
1973,29,40,2,9,32,32,3,0,0,0,2,1,6
1973,17,42,1,5,8,32,1,0,0,0,2,1,2
1973,29,42,2,3,29,32,0,0,0,0,2,1,0
1973,29,42,2,3,30,40,1,0,0,0,2,2,2
1973,29,42,2,4,32,40,1,0,0,0,2,2,2
1973,29,42,2,5,37,40,1,0,0,0,2,2,2
1973,29,42,2,9,39,40,0,1,0,0,2,2,2
1973,16,45,2,9,12,32,0,1,0,0,3,1,2
1973,16,45,2,9,12,44,0,0,0,0,3,3,0
1973,16,45,2,9,13,44,2,0,0,0,3,3,4
1973,16,45,2,9,13,40,2,0,0,0,3,2,4
1973,18,46,2,5,4,32,0,1,0,0,3,1,2
1973,15,50,1,1,2,32,0,1,0,0,3,1,2
1973,16,50,2,2,7,32,0,0,0,0,3,1,0
1973,16,50,2,4,8,32,0,1,0,0,3,1,2
1973,16,50,2,7,10,40,1,1,0,0,3,2,4
1973,16,50,2,9,12,32,0,0,0,5,3,1,5
1973,16,50,2,9,13,32,0,1,0,0,3,1,2
