species,region,total_air,sqm,sum_sq_air,sum_sq,sum_air_xm,var_b,se_b,cv_b,b,area,r,pop_est,pop_var,pop_se_1,pop_se_2
1,1,759,56.25,27857,1631.25,5692.5,0.17497838929467932,0.41830418273629455,0.1198697756853018,3.489655172413793,17949,1.131979695431472,70902,219370652.68969947,14811.166486462147,2750.3645695002056
2,1,77,56.25,585,1631.25,577.5,0.00833172904516543,0.09127830544639526,0.25783157707260995,0.35402298850574715,17949,5.754098360655738,36564,137871170.09418195,11741.855479189904,2180.4078240342387
3,1,212,56.25,2328,1631.25,1590,0.017037917822697847,0.13052937532485875,0.133915750628098,0.974712643678161,17949,6.614035087719298,115713,716174353.1369632,26761.434063535595,4969.473548531118
4,1,632,56.25,17316,1631.25,4740,0.07756450182133885,0.27850404273787277,0.09584593242956857,2.9057471264367813,17949,1.8174603174603174,94790,280449046.2917225,16746.612979695998,3109.767960584855
5,1,47,56.25,543,1631.25,352.5,0.010220636808032767,0.10109716518297023,0.4678432644105537,0.2160919540229885,17949,5.32258064516129,20644,106030532.65541878,10297.112831052147,1912.1258494094884
1,2,204,56.25,4538,731.25,1530,0.15233837387683538,0.39030548788972386,0.18654306406494153,2.0923076923076924,9431,1.131979695431472,22337,31662396.996513464,5626.934955774188,1560.6309620572715
2,2,18,56.25,324,731.25,135,0.034082840236686396,0.18461538461538463,1.0000000000000002,0.1846153846153846,9431,5.754098360655738,10019,100370440.79264717,10018.504918032788,2778.633321958105
3,2,48,56.25,264,731.25,360,0.009888231426692972,0.09943958681879653,0.20198666072568044,0.49230769230769234,9431,6.614035087719298,30709,71221586.39176312,8439.288263340879,2340.6374278382295
4,2,142,56.25,3196,731.25,1065,0.18745562130177512,0.4329614547529319,0.29727987210148493,1.4564102564102563,9431,1.8174603174603174,24964,67702759.53233664,8228.168662122613,2282.083385726847
5,2,119,56.25,2417,731.25,892.5,0.15130396668858206,0.3889781056673782,0.3187005487610872,1.2205128205128204,9431,5.32258064516129,61266,510381293.32999283,22591.61998020489,6265.78801803273
1,3,188,56.25,4194,731.25,1410,0.16811746657900498,0.4100213001528152,0.21264402534520999,1.9282051282051282,15979,1.131979695431472,34877,89491586.1419828,9459.999267546631,2623.7317249993202
2,3,4,56.25,8,731.25,30,7.714223098838482e-4,0.02777449027225969,0.6770032003863299,0.041025641025641026,15979,5.754098360655738,3772,6824065.546838246,2612.2912446429564,724.519233000448
3,3,52,56.25,320,731.25,390,0.012763532763532764,0.11297580609817645,0.21182963643408084,0.5333333333333333,15979,6.614035087719298,56366,252421712.47029248,15887.785008310393,4406.478730847014
4,3,99,56.25,1645,731.25,742.5,0.10154722770107383,0.31866475754478063,0.31383650364258703,1.0153846153846153,15979,1.8174603174603174,29488,103070255.70934294,10152.352225437362,2815.7558857988734
5,3,46,56.25,638,731.25,345,0.054157352618891076,0.23271732341811402,0.49325954420143736,0.4717948717948718,15979,5.32258064516129,40126,438395102.32221085,20937.8867683014,5807.1249494592075
1,4,114,56.25,2140,618.75,855,0.15491643709825528,0.39359425440198603,0.28483794726459516,1.3818181818181818,12311,1.131979695431472,19257,40203959.24239221,6340.659211974115,1911.7806845116986
2,4,29,56.25,333,618.75,217.5,0.04146189164370982,0.20362193311062987,0.5792692924698953,0.3515151515151515,12311,5.754098360655738,24901,224235896.63434723,14974.50822679487,4514.984109851704
3,4,38,56.25,348,618.75,285,0.03502662993572084,0.18715402730296998,0.4063212434867111,0.46060606060606063,12311,6.614035087719298,37505,274746873.61088467,16575.49014692732,4997.698321235529
4,4,77,56.25,957,618.75,577.5,0.06755555555555555,0.2599145158615724,0.27847983842311325,0.9333333333333333,12311,1.8174603174603174,20883,42763171.15539922,6539.355561169557,1971.6898879203093
5,4,0,56.25,0,618.75,0,0,0,NA,0,12311,5.32258064516129,0,0,0,0
