species,mean,sd,lcl,ucl,median,year,n
blue-winged teal,210097.48047138518,47665.30843855285,133406.50247501535,318424.53020188014,204375.28699014825,1973,185361
blue-winged teal,213093.5883486406,44297.09626889326,138854.80559801057,315366.4923864274,208042.88286928678,1974,254440
blue-winged teal,205521.50920557915,41264.73992244291,139192.3816496625,300256.3303258872,199978.25699168403,1975,237426
blue-winged teal,188856.89209998754,36556.25958230429,130283.98519218087,275378.6516783166,184123.4409632571,1976,200649
blue-winged teal,169877.26643159948,31443.73107371544,119103.05062712987,239494.53032056408,166822.15907571468,1977,195737
blue-winged teal,146710.76562358695,25502.537088374775,103023.4741830614,200829.7395943994,144974.9335831921,1978,134205
blue-winged teal,129638.54195997931,23209.208942464422,89124.97515131654,179707.85161142304,127782.85697833625,1979,120892
blue-winged teal,117243.20851610141,22102.333500933462,77760.92459970115,164602.86822017567,115945.78027409011,1980,69404
blue-winged teal,127129.71352807227,25620.383080541607,86737.11366532288,185945.06071952975,124092.67821287503,1981,258054
blue-winged teal,104940.20966884316,18750.476983876182,71783.08457063956,145228.3786215719,103210.36624866392,1982,98641
blue-winged teal,88520.80252645194,17339.921128009104,57891.213459642975,125114.63747505173,87051.91504155648,1983,60465
blue-winged teal,83288.59806566348,16548.7818820633,54570.78990093843,119318.6235110816,81911.16136389386,1984,64951
blue-winged teal,83497.60865771108,15885.707499891816,56824.75355757215,117964.22903770566,82221.9483949774,1985,84199
blue-winged teal,80466.09402403107,15980.042847879666,53000.60063460308,114939.06314917577,79074.40012676711,1986,51266
blue-winged teal,89570.6641528485,16026.140420699201,61605.999071034676,124720.27784118048,88448.08864244894,1987,124021
blue-winged teal,87677.69170768556,15867.32283658293,60366.5582540842,122710.9400222559,86420.79791513794,1988,67580
blue-winged teal,94332.24893006177,17143.8719073828,64633.34114477136,132867.1034667864,92982.947526817,1989,125062
blue-winged teal,90833.52728728569,16457.62306862004,62531.08499599925,126654.91784752942,89758.78240757462,1990,70169
blue-winged teal,94267.23433063475,17066.09074681253,63969.71088577098,130761.59934678198,93077.54764822277,1991,67023
blue-winged teal,110898.80739459842,22043.355914672324,76941.75502669641,164107.6685114325,107812.3632159839,1992,179125
blue-winged teal,107362.41706170478,19730.49817074979,75193.30654982652,151758.897406785,105475.57564618491,1993,98859
blue-winged teal,109403.8193097125,20367.040365554996,76293.1642909256,157067.36223790134,107308.33282035921,1994,144041
blue-winged teal,102466.78860340624,18553.042621553584,72319.91760748827,145092.9712741788,100030.32224282043,1995,117945
blue-winged teal,90445.43038789813,16151.956576296452,61830.540433667615,124564.26580742782,89640.55871069562,1996,69960
blue-winged teal,86389.95368895089,16094.679291214527,58158.80225957325,122162.48299296382,85434.0273035992,1997,70795
blue-winged teal,86982.29925105341,15917.963141458195,58736.02295101014,121707.89356222429,86082.32392652961,1998,75975
blue-winged teal,90742.21323354024,16652.124806093736,61772.82518056897,127425.21104545423,89133.02436485175,1999,84418
blue-winged teal,95334.89677529607,16836.14231375969,65731.69305607272,133687.415839971,93822.36023438556,2000,117338
blue-winged teal,92006.40320366109,17001.150321889283,61144.845533708496,129629.81302241745,91023.75908332443,2001,77310
blue-winged teal,93509.60310727458,17553.03910683082,62464.55440365288,132554.59801699631,92629.17654977675,2002,66033
blue-winged teal,106602.73528065285,19275.58236852878,74163.56593648951,148659.2958910016,104740.12564616092,2003,90136
blue-winged teal,131232.36733355385,29549.705272354226,85281.00227507803,197842.2677598829,127575.2607140707,2004,213755
blue-winged teal,135539.03018659443,30582.3718960881,87918.35739471392,205136.82674181307,131567.6242002275,2005,195239
blue-winged teal,123590.57141016914,24456.172308831454,84282.13824355064,179729.48578834202,120899.11282542696,2006,108701
blue-winged teal,121636.24449367149,23849.28119374614,82048.98204425698,175129.28683687007,118730.85733278637,2007,124093
blue-winged teal,120028.55742625777,25557.66503864892,80123.1523806726,180216.2609613318,116041.14893839101,2008,179549
blue-winged teal,101940.09139439439,18628.362410768037,71410.51618157903,144542.23544674585,100139.69826522807,2009,112793
