year,date,transect,grd,wetype,basin_no,species,pairs,lonedrake,flockdrake,groups,region,p_species
1973,4,1,4,0,1,32,0,1,0,0,1,1
1973,4,1,4,1,2,32,1,0,0,0,1,1
1973,4,1,4,1,3,40,1,0,0,0,1,2
1973,4,1,4,1,4,40,1,0,0,0,1,2
1973,4,1,4,2,5,40,0,0,0,9,1,2
1973,4,1,4,2,6,40,1,0,0,0,1,2
1973,4,1,4,3,7,32,0,1,0,0,1,1
1973,4,1,4,3,7,40,1,0,0,0,1,2
1973,4,1,4,9,9,40,1,0,0,0,1,2
1973,4,1,4,10,10,32,1,0,0,0,1,1
1973,4,1,4,5,13,51,3,0,0,0,1,5
1973,9,2,4,0,2,32,1,0,0,0,1,1
1973,9,2,4,0,2,35,1,0,0,0,1,5
1973,9,2,4,0,3,40,0,1,0,0,1,2
1973,9,2,4,1,4,40,0,1,0,0,1,2
1973,14,2,4,2,5,32,0,3,0,0,1,1
1973,9,2,4,9,6,32,0,1,0,0,1,1
1973,9,2,4,1,8,35,1,0,0,0,1,5
1973,9,2,4,1,9,40,0,1,0,0,1,2
1973,9,2,4,3,10,32,0,1,0,0,1,1
1973,9,2,4,3,11,40,1,0,0,0,1,2
1973,14,2,1,3,12,32,0,1,0,0,1,1
1973,14,2,1,9,13,32,0,1,0,0,1,1
1973,15,2,2,1,16,32,0,2,0,0,1,1
1973,15,2,2,1,17,40,1,0,0,0,1,2
1973,15,2,2,4,18,32,0,1,0,0,1,1
1973,14,3,4,0,1,32,0,1,0,0,1,1
1973,14,3,4,5,2,32,1,1,0,0,1,1
1973,14,3,4,5,3,32,0,1,0,0,1,1
1973,14,3,4,5,4,32,0,3,0,0,1,1
1973,14,3,4,5,5,42,1,0,0,0,1,5
1973,14,3,4,2,6,72,1,0,0,0,1,4
1973,14,3,4,2,6,32,0,4,0,0,1,1
1973,14,3,4,5,7,32,0,1,0,0,1,1
1973,14,3,4,5,8,32,0,2,0,0,1,1
1973,14,3,4,5,9,32,0,2,0,0,1,1
1973,14,3,4,5,10,72,1,0,0,0,1,4
1973,4,4,4,1,3,32,0,1,0,0,1,1
1973,4,4,4,1,4,32,0,1,0,0,1,1
1973,4,4,4,2,5,40,1,0,0,0,1,2
1973,4,4,4,2,6,40,2,0,0,0,1,2
1973,4,4,4,5,9,49,1,1,0,0,1,9
1973,4,4,4,5,10,49,1,2,0,0,1,9
1973,4,4,4,5,11,50,0,0,5,0,1,5
1973,4,4,4,5,12,50,0,0,7,0,1,5
1973,4,4,4,5,13,50,0,1,0,0,1,5
1973,4,4,4,5,14,50,0,1,0,0,1,5
1973,4,4,4,5,15,50,0,1,0,0,1,5
1973,4,4,4,5,16,50,0,1,0,0,1,5
1973,4,4,4,5,16,53,1,0,0,0,1,9
1973,4,4,4,5,17,50,1,1,0,0,1,5
1973,4,4,4,5,18,67,0,0,0,15,1,5
1973,4,4,4,5,18,49,1,0,0,0,1,9
1973,4,4,4,5,19,67,0,1,0,0,1,5
1973,4,4,4,5,20,67,1,0,0,0,1,5
1973,4,4,4,5,21,67,1,1,0,0,1,5
1973,4,4,4,1,22,32,1,0,0,0,1,1
1973,4,4,4,1,22,46,3,0,0,0,1,5
1973,4,4,4,1,23,32,2,0,0,0,1,1
1973,4,4,4,2,25,32,1,0,0,0,1,1
1973,4,4,4,2,26,40,0,1,0,0,1,2
1973,3,5,4,0,1,40,0,1,0,0,1,2
1973,3,5,4,1,2,32,0,1,0,0,1,1
1973,3,5,4,2,3,40,0,1,0,0,1,2
1973,3,5,4,3,5,32,0,1,0,0,1,1
1973,3,5,4,7,7,44,0,0,0,0,1,3
1973,3,5,4,1,9,42,2,0,0,0,1,5
1973,3,5,4,1,10,42,3,1,0,0,1,5
1973,3,5,4,3,12,43,1,0,0,0,1,5
1973,3,5,4,3,13,40,1,0,0,0,1,2
1973,3,5,4,3,13,43,1,0,0,0,1,5
1973,3,5,4,7,14,40,0,1,0,0,1,2
1973,3,5,4,7,15,40,1,0,0,0,1,2
1973,4,6,4,0,1,32,0,1,0,0,1,1
1973,4,6,4,0,1,40,1,0,0,0,1,2
1973,4,6,4,2,3,32,0,1,0,0,1,1
1973,4,6,4,2,4,72,0,0,0,5,1,4
1973,4,6,4,5,5,49,0,0,0,30,1,9
1973,4,6,4,5,6,50,0,0,0,10,1,5
1973,4,6,4,1,8,32,1,0,0,0,1,1
1973,4,6,4,1,9,32,1,0,0,0,1,1
1973,4,6,1,0,11,32,0,1,0,0,1,1
1973,4,6,1,0,12,40,0,1,0,0,1,2
1973,4,6,1,1,14,40,1,0,0,0,1,2
1973,4,6,1,1,15,42,0,1,0,0,1,5
1973,4,6,1,2,16,43,0,1,0,0,1,5
1973,14,7,4,1,1,32,0,2,0,0,1,1
1973,14,7,4,2,2,32,0,1,0,0,1,1
1973,14,7,4,2,3,32,1,0,0,0,1,1
1973,14,7,4,1,4,32,0,1,0,0,1,1
1973,14,7,4,1,5,32,0,1,0,0,1,1
1973,14,7,4,1,6,40,1,1,0,0,1,2
1973,14,7,1,1,8,40,1,1,0,0,1,2
1973,14,7,1,3,9,32,0,1,0,0,1,1
1973,14,7,1,3,10,32,0,1,0,0,1,1
1973,14,7,1,10,12,32,0,1,0,0,1,1
1973,14,7,1,1,13,42,1,0,0,0,1,5
1973,16,7,2,3,20,40,0,1,0,0,1,2
1973,9,8,4,3,2,40,1,0,0,0,1,2
1973,9,8,4,5,3,32,1,0,0,0,1,1
1973,9,8,4,5,4,32,1,1,0,0,1,1
1973,9,8,4,5,5,50,1,1,0,0,1,5
1973,9,8,4,10,6,32,2,1,0,0,1,1
1973,9,9,4,1,1,32,0,2,0,0,1,1
1973,9,9,4,1,2,32,0,4,0,0,1,1
1973,9,9,4,1,2,40,0,1,0,0,1,2
1973,9,9,4,3,3,40,1,0,0,0,1,2
1973,9,9,4,4,4,40,1,0,0,0,1,2
1973,9,9,4,4,4,43,1,0,0,0,1,5
1973,9,9,1,0,5,32,0,2,0,0,1,1
1973,9,9,1,1,6,32,0,1,0,0,1,1
1973,9,9,1,2,8,40,0,1,0,0,1,2
1973,10,9,2,1,24,40,0,1,0,0,1,2
1973,10,9,2,2,27,32,0,1,0,0,1,1
1973,10,9,2,2,28,40,1,2,0,0,1,2
1973,10,9,2,2,28,50,0,1,0,0,1,5
1973,10,9,2,2,28,46,1,0,0,0,1,5
1973,3,10,4,1,1,32,1,0,0,0,1,1
1973,3,10,4,2,2,40,1,2,0,0,1,2
1973,3,10,4,5,4,32,0,1,0,0,1,1
1973,3,10,4,5,4,40,0,1,0,0,1,2
1973,3,10,4,5,5,32,1,0,0,0,1,1
1973,3,10,4,5,6,42,1,0,0,0,1,5
1973,3,10,4,5,7,50,1,0,0,0,1,5
1973,3,10,4,5,7,39,0,1,0,0,1,5
1973,3,10,4,5,8,50,3,0,0,0,1,5
1973,3,10,4,7,9,42,1,0,0,0,1,5
1973,3,10,4,7,9,32,1,0,0,0,1,1
1973,3,10,4,10,10,32,0,1,0,0,1,1
1973,3,10,4,3,11,32,0,1,0,0,1,1
1973,3,10,4,3,12,32,1,0,0,0,1,1
1973,3,10,4,3,12,40,2,0,0,0,1,2
1973,3,10,4,5,13,40,1,0,0,0,1,2
1973,3,10,4,5,14,49,0,0,0,40,1,9
1973,3,10,4,5,15,50,2,0,0,0,1,5
1973,4,11,4,0,1,32,0,1,0,0,1,1
1973,4,11,4,1,4,32,0,1,0,0,1,1
1973,4,11,4,1,5,32,0,1,0,0,1,1
1973,4,11,4,1,6,40,0,1,0,0,1,2
1973,4,11,4,1,7,40,2,1,0,0,1,2
1973,4,11,4,2,8,32,0,1,0,0,1,1
1973,4,11,4,2,9,40,0,1,0,0,1,2
1973,4,11,4,3,10,40,0,1,0,0,1,2
1973,4,11,4,4,13,32,0,3,0,0,1,1
1973,4,11,4,4,13,40,1,1,0,0,1,2
1973,4,11,4,4,14,50,0,1,0,0,1,5
1973,4,11,4,5,16,32,0,2,0,0,1,1
1973,4,11,4,5,17,32,1,0,0,0,1,1
1973,4,11,4,1,18,32,1,1,0,0,1,1
1973,4,11,4,1,19,32,1,3,0,0,1,1
1973,4,11,4,1,20,40,0,0,0,10,1,2
1973,4,11,4,1,20,72,1,0,0,0,1,4
1973,4,11,4,1,21,40,0,1,0,0,1,2
1973,4,11,4,3,23,32,0,1,0,0,1,1
1973,4,11,4,3,24,32,0,1,0,0,1,1
1973,4,11,4,3,25,40,0,1,0,0,1,2
1973,4,11,4,3,25,35,0,0,5,0,1,5
1973,4,11,4,3,25,42,0,3,0,0,1,5
1973,4,11,4,5,26,32,0,0,0,16,1,1
1973,4,11,4,5,26,72,1,0,0,30,1,4
1973,4,11,4,5,27,32,0,1,0,0,1,1
1973,4,11,4,5,27,72,0,0,0,14,1,4
1973,3,12,4,1,1,43,0,1,0,0,1,5
1973,3,12,4,5,2,40,0,1,0,0,1,2
1973,3,12,1,1,4,43,1,0,0,0,1,5
