year,month,date,transect,observer,ground,typ1,typ2,typ3,typ4,typ5,typ6,typ7,typ8,str,dit,region
2021,4,27,1,292,0,0,5,5,19,9,0,12,0,16,3,1
2021,4,28,4,292,0,2,6,5,15,9,0,1,0,2,13,1
2021,4,29,7,292,0,1,3,3,8,9,0,2,1,11,6,1
2021,4,29,7,292,1,5,1,3,4,2,0,5,0,6,7,1
2021,4,28,8,292,0,1,0,2,21,4,0,2,0,10,7,1
2021,4,26,10,292,0,1,0,8,1,2,0,0,0,5,5,1
2021,4,29,13,292,0,0,4,2,3,6,0,3,0,7,4,1
2021,4,29,13,292,1,0,2,2,3,0,0,0,0,5,10,1
2021,4,28,14,292,0,1,3,2,31,4,0,4,0,6,19,1
2021,4,29,16,292,0,5,5,1,10,7,0,4,0,4,4,1
2021,4,29,16,292,1,0,2,1,3,7,0,0,0,3,5,1
2021,4,27,63,292,0,0,6,2,2,0,0,1,0,10,3,4
2021,4,27,65,292,0,0,0,0,2,0,0,0,0,25,0,4
2021,4,27,65,292,1,0,3,0,0,0,0,0,0,2,0,4
2021,4,29,66,292,0,0,1,5,6,3,0,2,0,2,2,4
2021,4,29,66,292,1,0,1,1,0,1,0,0,0,0,0,4
2021,4,27,67,292,0,0,0,1,0,0,0,0,0,4,0,4
2021,4,27,67,292,1,0,2,0,0,0,0,0,0,3,0,4
2021,4,27,68,292,0,0,0,0,2,0,0,0,0,11,0,4
2021,4,27,68,292,1,0,2,1,2,0,0,0,0,5,0,4
2021,4,29,69,292,0,0,3,1,6,2,0,0,0,21,4,4
2021,4,29,71,292,0,0,0,0,3,0,0,0,0,10,1,4
2021,4,29,2,262,0,1,5,1,0,12,0,13,0,8,10,1
2021,4,29,2,262,1,1,1,1,2,6,0,3,0,5,0,1
2021,4,30,3,262,0,2,9,5,2,12,0,3,0,7,9,1
2021,4,26,5,262,0,0,0,1,6,9,3,1,0,9,15,1
2021,4,29,9,262,0,11,3,0,0,8,0,9,0,15,8,1
2021,4,29,9,262,1,1,2,1,0,7,1,4,0,0,7,1
2021,4,26,11,262,0,2,0,5,1,4,1,5,0,10,19,1
2021,4,26,12,262,0,1,0,0,0,4,0,0,0,4,1,1
2021,4,26,12,262,1,2,0,1,0,0,0,0,0,2,1,1
2021,4,27,15,262,0,0,3,2,1,9,1,1,0,13,10,1
2021,4,30,18,262,0,23,7,2,0,10,0,11,0,9,25,1
2021,4,26,19,262,0,6,2,2,1,14,0,3,0,3,2,1
2021,4,26,20,262,0,3,0,7,4,8,0,0,0,10,4,1
2021,4,30,21,262,0,5,6,2,1,3,4,13,0,5,15,1
2021,4,26,24,262,0,0,3,3,0,2,1,0,0,3,12,1
2021,4,26,24,262,1,0,0,0,0,0,0,0,0,1,8,1
2021,4,29,25,262,0,0,1,2,6,4,0,11,0,9,4,1
2021,4,29,25,262,1,1,2,0,2,6,1,3,0,7,6,1
