YEAR,MONTH,DATE,TRANSECT,OBSERVER,GROUND,TYP1,TYP2,TYP3,TYP4,TYP5,TYP6,TYP7,TYP8,STR,DIT
1973,5,9,2,7,,17,9,10,2,0,0,10,0,6,7
1973,5,4,4,7,,21,10,4,1,4,0,0,0,0,7
1973,5,9,16,7,,10,3,2,,7,,6,,8,2
1973,5,9,16,7,1,17,,,,,,1,,1,8
1973,5,15,17,7,,0,5,3,1,12,0,0,0,6,1
1973,5,15,17,7,1,,4,1,,2,,,,4,
1973,5,14,23,7,,2,10,5,,3,,2,,5,1
1973,5,14,23,7,1,,5,,,6,1,,,3,
1973,5,14,28,7,,1,27,1,,11,,14,1,8,
1973,5,14,29,7,,3,11,4,2,12,,6,1,4,1
1973,5,14,29,7,1,2,7,3,,4,,2,,1,
1973,5,17,33,7,,,1,,1,3,,,1,4,
1973,5,23,34,7,,1,5,4,4,21,,1,5,4,2
1973,5,17,36,7,,,1,,4,8,,,,1,
1973,5,23,39,7,,,1,,,6,,,,3,
1973,5,23,39,7,1,,,,,,,,,2,
1973,5,23,43,7,,,10,4,1,5,,,,4,1
1973,5,23,44,7,,,6,,7,1,,4,7,12,
1973,5,15,46,7,1,,1,,,2,,,,2,1
1973,5,15,46,7,,,5,1,,6,,,,11,1
1973,5,18,47,7,,1,13,1,2,4,,1,1,16,
1973,5,18,48,7,1,3,7,4,1,2,,2,,7,
1973,5,18,48,7,,,1,,,3,,7,1,9,
1973,5,18,53,7,1,,,,2,2,,,,6,1
1973,5,18,53,7,,,10,3,1,4,,,1,7,
1973,5,18,54,7,1,,4,1,4,2,,5,,2,
1973,5,18,54,7,,,9,,1,8,,3,4,8,1
1973,5,18,55,7,,,1,,,2,,1,,15,
1973,5,4,1,8,,14,1,1,0,1,0,1,0,7,0
1973,5,9,2,8,,2,0,1,0,0,0,0,0,1,0
1973,5,2,2,8,1,2,0,2,0,0,0,0,0,4,0
1973,5,14,3,8,,4,4,5,0,7,0,0,0,1,5
1973,5,3,5,8,,18,3,4,0,2,0,4,0,6,3
1973,5,4,6,8,1,5,3,4,,,,,,,
1973,5,4,6,8,,5,,1,,2,,1,,,
1973,5,14,7,8,1,8,,4,,,,,,3,6
1973,5,14,7,8,,3,1,2,,1,,,,7,2
1973,5,9,8,8,,6,,3,,4,,3,,5,1
1973,5,9,9,8,,11,,3,,3,,,,8,2
1973,5,9,9,8,1,4,1,,1,1,,2,,1,3
1973,5,3,10,8,,6,2,2,2,1,,,,7,2
1973,5,4,11,8,,11,2,1,,1,,,,6,4
1973,5,3,12,8,,6,2,5,,3,,,,,
