Year,Mallard,BWTE,WODU,O_Ducks,T_Ducks,Geese
1973,106956,185361,6636,113753,412706,
1974,94322,254440,15442,70978,435182,
1975,120460,237426,26520,42472,426878,
1976,109862,200649,26164,42851,379526,
1977,91657,195737,21475,14411,323280,
1978,61646,134205,17811,57686,271348,
1979,78600,120892,31697,34541,265730,
1980,116488,69404,29261,32920,248073,
1981,142831,258054,40817,63336,505038,
1982,89472,98641,9524,21081,218718,
1983,119462,60465,10642,11727,202296,
1984,104759,64951,28294,11991,209995,
1985,73909,84199,25757,8929,192794,
1986,110763,51266,82747,17237,262013,11129
1987,136947,124021,98349,30518,389835,14519
1988,148901,67580,54260,16333,287074,15339
1989,180676,125062,59676,97099,462513,53040
1990,151356,70169,67065,40040,328630,22840
1991,172423,67023,69349,126986,435781,23931
1992,249727,179125,145118,109834,683804,34668
1993,174531,98859,73866,32115,379371,34386
1994,283400,144041,63078,80710,571229,36125
1995,242166,117945,153658,78650,592419,59240
1996,314413,69960,76475,75457,536305,55888
1997,180968,70795,119410,38140,409313,78566
1998,186891,75975,121713,28219,412798,74712
1999,248446,84418,113898,29869,476631,101183
2000,453979,117338,141882,31191,744390,129508
2001,183453,77310,131051,48312,440126,94066
2002,378542,66033,135129,161087,740791,118476
2003,261332,90136,110109,71888,533465,241930
2004,229175,213755,114550,94014,651494,149003
2005,317224,195239,141152,70655,724270,123836
2006,219494,108701,121650,72726,522571,134683
2007,210219,124093,87875,48427,470614,125195
2008,188429,179549,126440,132506,626924,116715
2009,200497,112793,113523,75602,502416,148293
2010,199107,50188,103769,32757,385821,157622
2011,187862,90803,146471,88610,513746,176095
2012,196950,105791,106626,111712,521079,145386
2013,181200,73483,91516,181141,527340,138925
2014,158747,34337,104140,97875,395099,126299
2015,176200,59083,68142,69415,372840,119212
2016,164147,37936,89775,98640,390498,129562
2017,180930,85526,102397,110246,479099,158023
2018,216652,45130,100055,77560,439397,157950
2019,204296,61946,100027,47392,413661,171407
2020,,,,,,
2021,147371,75253,240291,122035,584950,170123
