YEAR,MONTH,DATE,STARTIME,ENDTIME,TRANSECT,OBSERVER1,OBSERVER2,OBSERVER3,GRD,WETYPE,SP1,PR1,LM1,FM1,LH1,US1,SP2,PR2,LM2,FM2,LH2,US2,SP3,PR3,LM3,FM3,LH3,US3,SP4,PR4,LM4,FM4,LH4,US4,SP5,PR5,LM5,FM5,LH5,US5,SP6,PR6,LM6,FM6,LH6,US6,SP7,PR7,LM7,FM7,LH7,US7,SP8,PR8,LM8,FM8,LH8,US8,SP9,PR9,LM9,FM9,LH9,US9,UPR,ULM,UFM,ULH,UUS,COOTS,BRSP,BRYG,DIRECT,SIDE
21,4,27,1026,1047,1,262,292,,,5,29,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,S
21,4,27,1026,1047,1,262,292,,,1,32,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,S
21,4,27,1026,1047,1,262,292,,,5,72,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,S
21,4,27,1026,1047,1,262,292,,,5,72,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,S
21,4,27,1026,1047,1,262,292,,,9,44,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,S
21,4,27,1026,1047,1,262,292,,,5,72,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,S
21,4,27,1026,1047,1,262,292,,,5,72,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,S
21,4,27,1026,1047,1,262,292,,,7,44,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,S
21,4,27,1026,1047,1,262,292,,,5,72,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,S
21,4,27,1026,1047,1,262,292,,,9,44,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,S
21,4,27,1026,1047,1,262,292,,,9,32,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,S
21,4,27,1026,1047,1,292,262,,,,72,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,N
21,4,27,1026,1047,1,292,262,,,9,72,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,N
21,4,27,1026,1047,1,292,262,,,4,44,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,N
21,4,27,1026,1047,1,292,262,,,9,32,1,,,,,40,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,N
21,4,27,1026,1047,1,292,262,,,5,32,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,N
21,4,29,1057,1118,2,262,292,,,9,32,1,,,,,40,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,N
