species,common_name
6,Pied billed Grebe
7,Loon
20,Cormorant
25,Pelican
29,Common Merganser
30,Red-breasted Merganser
31,Hooded Merganser
32,Mallard
33,Black Duck
35,Gadwall
37,American Wigeon
39,Green-winged Teal
40,Blue-winged Teal
42,Shoveler
43,Pintail
44,Wood Duck
45,Unidentified Ducks
46,Redhead
47,Canvasback
49,Scaup
50,Ring-necked Duck
51,Goldeneye
53,Bufflehead
54,Long-tailed Duck
67,Ruddy 
72,Canada Goose
78,Mute Swan
80,Tundra Swan
81,Trumpeter Swan
84,Whooping Crane
86,Sandhill Crane
94,Great Blue Heron
95,Unknown Grebe
96,Egret
99,Unidentified
